"Name","Url","Telephone","Latitude","Longitude","Address","County","Tags"
"Achill Island Sea Salt","https://achillislandseasalt.ie/","003539847856","53.9780747","-9.9825784","Bunacurry, Achill, , F28 HT29","Mayo","Activity,Experience,Craft,Shopping,Artisan,Food and Drink,Restaurant,Food Shops ,Tour"
"Achill Island Tours","https://www.achillislandtours.ie/","00353838772715","53.2749746","-9.0456481","Fairgreen Rd, , H91 CX90","Galway","Activity,Experience,Activity Operator,Tour"
"Achill Isle Walks","https://www.achillislewalks.ie/","00353868439683","53.97251999999999","-10.091673","Keel East, Keel, Newtown, ","Mayo","Activity,Experience,Walking ,Walking,Activity Operator,Nature and Wildlife,Tour"
"Achill Outdoor Education & Training Centre","https://achilloutdoor.ie/","003539847253","53.95762430000001","-9.968569200000001","Achill, Cashel, ","Mayo","Activity,Experience,Climbing,Activity Operator,Kayaking,Kitesurfing,Windsurfing,Learning,Sailing,Surfing,Walking ,Walking,Adventure Park"
"Achill Sea Safari","https://www.achill-sea-safari.com/","00353896037322","53.9642395","-10.1027544","Achill island, Achill, westport, , ","Mayo","Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour"
"Achill Seascape","https://www.achillseascape.ie/","00353877723077","53.88000109999999","-9.947166499999998","Small pier, Cloghmore, Achill, , ","Mayo","Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour"
"Achill Seaweed Baths","https://www.facebook.com/AchillSeaweedBaths","00353877171713","53.9776589","-10.0451336","Dookinelly (Calvy), , ","Mayo","Activity,Experience,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
"Achill Surf Education & Adventure Centre","https://achillsurf.com/","00353851554376","53.973296","-10.073069","Achill Island Co Mayo *, Keel East, , ","Mayo","Activity,Experience,Climbing,Activity Operator,Cycling,Kayaking,Surfing,Walking ,Walking"
"Achonry Farmers Market","https://www.achonryfarmersmarket.ie/","00353877981827","54.09569119999999","-8.6602689","38WQ+7V, Carrowclare, Achonry, , ","Sligo","Activity,Experience,Craft,Shopping,Food and Drink,Restaurant,Shopping Centres and Department Store,Artisan,Local Produce,Food Shops "
"Acorn Restaurant at the Castle Oaks House Hotel & Estate","https://www.castleoaks.ie/acorn-restaurant/","0035361377666","52.7095835","-8.5085681","Stradbally North, Castleconnell, V94 EH94","Limerick","Activity,Food and Drink,Experience,Restaurant"
"Activate Waterford","https://activatewaterford.ie/","0035351325097","52.24238099999999","-7.089560899999999","Williamstown House, Williamstown Rd, Ardkeen, ","Waterford","Activity,Experience,Climbing,Activity Operator,Movies,Cinema,Venue,Cafe,Food and Drink"
"Active Breaks","https://www.activebreaks.ie/bikerental","00353871844530","52.27229680000001","-6.3856314","Active Breaks, Station Road, Doogans Warren, Rosslare, ","Wexford","Activity,Experience,Cycling,Activity Operator,Bike Rental,Tour"
"Active Tribe Courtown","https://www.activetribe.ie/","00353539425354","52.6486064","-6.228840299999999","Active Tribe Courtown, Courtown Harbour, Ballinatray Lower, Gorey, ","Wexford","Activity,Experience,Learning,Swimming,Swimming Pools and Water Park,Venue,Zip Lining,Activity Operator,Fitness and Leisure,Swimming Pool,Cafe,Food and Drink"
"Activities Ireland","https://activitiesireland.ie/","0035315056794","53.3583925","-6.449117799999999","11 Main St, Lucan Village, Lucan, ","Dublin","Activity,Experience,Activity Operator,Venue,Sports Venues,Tour"
"Activity Days","https://www.facebook.com/activitydaysireland","00353873306306","51.9395051","-8.5674229","10 Bracken Wood, Blarney, ","Cork","Activity,Cycling,Food and Drink,Restaurant,Kayaking,Activity Operator,Sailing,Walking ,Walking,Nature and Wildlife,Tour"
"Adam Ladd Tours","https://www.adamladdtours.com/","00353851572537","53.3403825","-6.300785799999999","Bellavista, 46 Cameron Square, Kilmainham, D08 W83F","Dublin","Activity,Activity Operator,Tour"
"Adams & Butler","https://www.adamsandbutler.com/destinations/ireland/","0035312889355","53.2692808","-6.1667652","Aspen Court, 2 Bray Rd, Cornelscourt, , D18 K3T2","Dublin","Activity,Experience,Activity Operator,Nature and Wildlife,Tour"
"Adare Cottage","https://adarecottage.ie/","0035361396422","52.56482639999999","-8.7867137","Adare Cottage Shop, Main Street, Adare, ","Limerick","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"The Golf Course at Adare Manor","https://www.adaremanor.com/golf/","0035361605200","52.5710227","-8.7827067","Limerick Road, Adare, ","Limerick","Golf Course,Activity,Experience,Golf,Driving Range,General,Golf Driving Range,Food and Drink,Restaurant,Activity Operator,Food Shops ,Shopping"
"Adare Heritage Centre","https://www.adareheritagecentre.ie/","0035361396666","52.5647887","-8.789831300000001","Main St, Blackabbey, Adare, V94 DWV7","Limerick","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Tracing Your Ancestors,Attraction,Museums and Attraction,Cafe,Food and Drink,Food Shops ,Tour"
"Adare Village & Riverbank Walk",,"","52.56208570551605","-8.793213826074293",", Adare, ","Limerick","Activity,Walking ,Walking"
"Adare Walking Tours","https://www.facebook.com/adarewalkingtours/","00353879623120","52.5647615","-8.7881817","N21, Blackabbey, Adare, ","Limerick","Activity,Experience,Activity Operator,Tour,Walking"
"Adare Walks","https://www.facebook.com/AdareWalks","00353868980278","52.5636339","-8.7925892",", Adare, ","Limerick","Activity,Activity Operator,Tour,Walking"
"Adare Woollens","https://adarewoollens.com/","0035361396922","52.5646866","-8.789861799999999","The Heritage Centre, Blackabbey, Adare, V94 DWV7","Limerick","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"Adelaide Memorial Church","http://www.myshalldrumphea.com/adelaide-church.htm","00353599157671","52.684946","-6.778635",", Myshall, ","Carlow","Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery"
"Adelaide Road Presbyterian Church","https://www.adelaideroadchurch.ie/","0035312694944","53.33250790000001","-6.2587834","Adelaide Road Presbyterian Church, 18A Adelaide Rd, Saint Kevin's, Dublin, D02 HP49","Dublin","Activity,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery"
"Adonis Flower Designers","https://adonis.ie/classes/","0035314545973","53.34096520000001","-6.272102800000001","59- 60 Patrick St, Christchurch Pl, The Liberties, Dublin, ","Dublin","Activity,Craft,Shopping,Learning,Shopping Centres and Department Store,Food Shops "
"Adrigole Arts (Pure-Ireland)","https://www.pure-ireland.ie/","003532760234","51.6844045","-9.710122499999999","Drumlave, , P75 HF10","Cork","Activity,Food and Drink,Experience,Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Attraction,Venue,Music,Cafe,Food Shops "
"Killarney Lakes and Gap of Dunloe Tour by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/Killarney-Lakes-and-Gap-of-Dunloe/AHI754","0035351550200","52.3458108","-9.7623808","Ardfert Airfield, Ballyrobert, Ardfert, ","Kerry","Activity,Experience,Activity Operator,Day Tour,Tour"
"10km Helicopter Buzz Flight by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/10-km-Helicopter-Buzz-Flight/AH10K","0035351550200","52.18742699999999","-7.079176999999998","Killowen, , X91 AR26","Waterford","Activity,Experience,Activity Operator,Day Tour,Tour"
"Clew Bay, Westport and Croagh Patrick Tour by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/Clew-Bay%2c-Westport-and-Croagh-Patrick-Tour/AHI755","0035351550200","53.6382888","-9.244663599999999","Ballinrobe Race Course, Rathcarreen, Ballinrobe, ","Mayo","Activity,Experience,Activity Operator,Day Tour,Tour"
"Fortress Spike Island Tour by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/Fortress-Spike-Island-Helicopter-Tour/AHI95K","0035351550200","52.132177","-8.685995","Cork Racecourse Mallow, Killetra, Mallow, ","Cork","Activity,Experience,Activity Operator,Day Tour,Tour"
"The Copper Coast Tour by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/The-Copper-Coast-Helicopter-Tour/AHI751","0035351550200","52.18856","-7.080912","Waterford Airport, Ballygarran, Waterford Regional Airport, , ","Waterford","Activity,Experience,Activity Operator,Day Tour,Tour"
"Cliffs of Moher Tour by Adventure 001 Helicopters Ireland","https://www.adventure001.ie/ActivityDetail/Aviation/Helicopter-Rides/43/Cliffs-Of-Moher-Tour/AHI453","0035351550200","52.8462202","-9.4139509","Leagard South, Spanish Point, ","Clare","Activity,Experience,Activity Operator,Day Tour,Tour"
"Adventure 001 Helicopters Ireland","https://www.adventure001.ie/","0035351550200","52.18742699999999","-7.079176999999998","Killowen, , X91 AR26","Waterford","Activity,Experience,Day Tour,Tour"
"Adventure Gently","https://www.adventuregentlyireland.com/","00353857280520","54.2304964391538","-8.3012295257849","Beagh, Dromahair, ","Leitrim","Activity,Experience,Kayaking,Activity Operator,Nature and Wildlife,Boat,Tour"
"adventure.ie","https://www.adventure.ie/category/explore/","0035312542754","53.0119991","-6.107665799999999","Ashford Business Centre, Mount Usher Court, Ashford, A67 PN59","Wicklow","Activity,Experience,Climbing,Activity Operator,Walking ,Walking"
"Adventure Legend","https://adventurelegend.ie/","00353876654042","54.0138727","-7.5282313","Portaliff Or Townparks, Killashandra, , ","Cavan","Activity,Experience,Kayaking,Activity Operator,Learning,Surfing,Walking ,Walking,Day Tour,Tour"
"Adventure One Surf School","https://www.facebook.com/adventureonesurfschool/","00353876285565","55.247959","-7.701933999999999","Ballyheirnan Bay, Rinmore, Eelburn, Fanad, ","Donegal","Activity Experience Surfing Activity Operator"
"Adventure Rooms Dublin","https://adventurerooms.ie/","0035318727927","53.34966379999999","-6.270430499999999","Classic House, Green St, Rotunda, , ","Dublin","Activity"
"Adventure Sports Culdaff","https://adventuresummercamp.ie/","00353830161907","55.3003397","-7.154144800000001","pier, Bunagee Rd, Carthage, Bunagee, , ","Donegal","Activity,Experience,Climbing,Activity Operator,Kayaking,Walking ,Walking"
"Adventure Tours Inis Mor","https://www.facebook.com/AdventureToursInisMor","00353879547571","53.11914082815188","-9.66904792855837","Cuan Chiaran, Kilronan, Inis Mor, , ","Galway","Activity,Experience,Activity Operator,Tour"
"Aer Arann Islands","https://aerarannislands.ie/","0035391593034","53.232080708613005","-9.467315095118465","Caislean, Inverin, , ","Galway","Activity,Experience,Transport,Coach,Road"
"Aerfort Réigiúnach Chonamara (Connemara Regional Airport)",,"","53.2322156","-9.4695141","Connemara Airport, Inveran, ","Galway","Activity,Experience,Transport,Attraction,Embarkation Point,Coach,Road"
"Aghaboe Abbey",,"","52.92221660000001","-7.514009299999999","Friarsland, Aghaboe, ","Laois","Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery,Ruins,Historic Houses and Castle"
"The Spa at Aghadoe Heights","https://www.aghadoeheights.com/spa","00353646631766","52.07733390000001","-9.5562134","Lakes of Killarney, Nunstown, Killarney, V93 DH59","Kerry","Activity,Experience,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
"Agricultural Heritage Display Centre","https://www.coolakayhouse.ie/agricultural-heritage-museum","0035312862423","53.1667259","-6.188046300000001","Powerscourt Waterfall Road, Coolakay, Enniskerry, ","Wicklow","Activity,Experience,Agriculture,Nature and Wildlife,Attraction,Museums and Attraction"
"Ahakista Air India Plane Disaster Memorial","https://livingthesheepsheadway.com/air-india-disaster-memorial/","","51.59751","-9.621448","Sheeps Head Peninsula, Ahakista, ","Cork","Activity,Experience,Attraction,Public Sculpture"
"Ahascragh Distillery","https://ahascraghdistillery.com/","0035399688935","53.3970592","-8.3360383","Chapel St, Ahascragh West, Ballinasloe, H53 AH39","Galway","Activity,Experience,Learning,Activity Operator,Attraction,Museums and Attraction,Cafe,Food and Drink,Tour"
"Ahenny High Crosses","http://www.megalithicireland.com/High%20Cross%20Ahenny.htm","","52.41253745665957","-7.393333381617822","Carrick On Suir, Ahenny, ","Tipperary","Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery,Ruins,Historic Houses and Castle"
"Ahoy Café","https://www.facebook.com/ahoycafekillybegs","00353749731952","54.63338479999999","-8.4460411","Shore Road, Killybegs, F94 V322","Donegal","Activity,Food and Drink,Experience,Cafe,Seafood,Restaurant"
"Aidi MacDáibhi Celtic Jewellery","https://www.celticjewelry.ie/","00353834834176","52.447323","-9.482014999999999","Church Street Church St, Listowel, V31 Y659","Kerry","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"Aileach Restaurant at the Clanree Hotel","https://www.clanreehotel.com/CarveryCoffeeDock.html","00353749124369","54.94365939999999","-7.6983954","Derry Road, Bunnagee, Letterkenny, ","Donegal","Activity,Food and Drink,Experience,Restaurant"
"Aillwee Burren Experience: Cave Tours, Birds of Prey & Farm Shop","https://aillweeburrenexperience.ie/","00353657077036","53.09043310000001","-9.146812299999999","Aillwee Burren Experience, Ballycahill, Ballyvaughan, H91 AX26","Clare","Activity,Experience,Falconry,Nature and Wildlife,Activity Operator,Natural Landscape,Attraction,Food Shops ,Shopping,Tour"
"Áine Dunne - Fine Art Tapestry Weaver","https://ainedunneweaver.com/","00353879112502","53.76211399999999","-6.351276999999999","An Cruach, Ballymakenny, Drogheda, ","Louth","Activity,Experience,Craft,Shopping,Learning,Art Gallery,Attraction,Activity Operator"
"Aircoach","https://www.aircoach.ie/","0035318447118","53.428486","-6.243069","Arrivals Level, Dublin Airport, ","Dublin","Activity,Transport,Coach,Road"
"Airfield Estate","https://www.airfield.ie/","0035319696666","53.28817950000001","-6.236995299999999","Overend Ave, Dundrum, D14 EE77","Dublin","Activity Gardens Attraction Garden Visitor Farm Nature and Wildlife"
"Airmid Natural Handmade Skincare","https://airmidsoap.com/","00353892066292","52.9417237","-9.293415000000001","AIRMID, Church St, Deerpark Middle, Ennistimon, , V95 CR44","Clare","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"Airtastic Entertainment Centre","https://air-tastic.com/locations/cork","00353818882232","51.903236","-8.357882399999998","Unit 5, Eastgate Retail Park, Little Island, T45 DY80","Cork","Activity,Experience,Restaurant,Activity Operator,Food and Drink"
"Akelarre Tours","https://www.akelarretours.com/en","00353830351295","53.3498053","-6.2603097",", , ","Dublin","Activity,Activity Operator,Tour,Walking"
"Alaind Walking Sneem","https://alaindwalkingireland.ie","00353852581480","51.84421","-9.9086594","Álaind Lodges B&B, Sportsfield Road, Moularostig, Sneem, ","Kerry","Activity,Walking ,Walking,Activity Operator,Tour"
"Alainn Tours","https://www.vacancesenirlande.com/","00353719150345","54.276444346788004","-8.494411290535822","Unit 9, ProTek House, Finisklin Business Park, Sligo, , ","Sligo","Activity,Experience,Activity Operator,Tour"
"Alan Gaillard Stoneware Pottery","http://alangaillard.com/","003539522786","53.5036472","-10.0308748","The Stone House, Westport Rd, Letternoosh, Clifden, H71 VY45","Galway","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"Alchemy Tours","https://alchemytours.ie","00353862596887","54.14019560000001","-10.0836632","Mullaghroe, North, Clogher, F26 C2C8","Mayo","Activity,Experience,Walking ,Walking,Activity Operator,Nature and Wildlife,Tour"
"Alive Outside","https://aliveoutside.ie","0035312147355","53.1795604","-6.105066000000001","Garden House, Southern Cross Rd, Kilruddery Demesne West, Bray, A98 W9F2","Wicklow","Activity,Experience,Climbing,Activity Operator,Kayaking,Swimming,Swimming Pools and Water Park,Venue,Adventure Park"
"Alix Gardners Cookery School","https://www.dublincookery.com/","0035316681553","53.3296366","-6.245328100000001","71 Waterloo Rd, Ballsbridge, D04 P659","Dublin","Activity,Food and Drink,Restaurant,Learning,Activity Operator,Food Trails and Tour,Tour"
"All Ireland Chauffeur - Coach Tours","https://www.allirelandchauffeurtours.com","00353(0)876613619","52.23938187117054","-7.075492314680446","13 Shanagarry, Collins Ave, Waterford City, ","Waterford","Activity,Experience,Activity Operator,Tour"
"Allihies Copper Mine Museum","https://acmm.ie/theminemuseum/","003532773218","51.6412598","-10.0441558","Cloan, Beara, Allihies, ","Cork","Activity,Experience,Learning,Walking ,Walking,Attraction,Museums and Attraction,Cafe,Food and Drink"
"Allihies Copper Mine Tour","http://bearabaoitours.com","00353(0)876461627","51.63912118061872","-10.045510909174027","Cnocán, Beara, , ","Cork","Activity,Walking ,Walking,Activity Operator,Tour"
"Allo's Restaurant, Bar & Bistro","https://www.facebook.com/Allosbarbistro","003536822880","52.44659919999999","-9.4842248","41 Church St, Listowel, ","Kerry","Activity,Food and Drink,Experience,Restaurant"
"Aloha Surf School","https://surfschool.ie/","00353872133996","53.11747539999999","-9.2861007","Fanore More, Fanore, ","Clare","Activity,Surfing,Activity Operator"
"Alpaca Lodge ","https://www.facebook.com/Alpacaslodge/","00353879825800","52.54153300000001","-6.3574919","Wells, Gorey, Y25 R9K6","Wexford","Activity,Experience,Activity Operator,Tour,Walking"
"Alpaca Walk West Cork","https://awwc.ie/","00353830670776","51.5362985","-9.126397899999999","Alpaca Walk West Cork, Ardra, Unionhall, , ","Cork","Activity,Experience,Activity Operator,Tour"
"Alpine Fishery",,"003539636733","54.2159","-9.09244","Pier Road, Inniscrone, , ","Sligo","Activity,Experience,Fishing,Angling,Activity Operator"
"Altamont Gardens","https://heritageireland.ie/visit/places-to-visit/altamont-gardens/","00353599159444","52.7357813084342","-6.720837390212978",", Tullow, ","Carlow","Activity Experience Gardens Attraction Garden"
"Alternative Bread Company","https://www.instagram.com/alternativebreadcompany/","00353214251347","51.89765060000001","-8.474743499999999","24 Grand Parade, Centre, , T12 KP44","Cork","Activity,Experience,Shopping,Shopping Centres and Department Store,Food Shops "
"Alternative Dublin City","https://www.alternativedublincity.com/","00353863334177","53.3460087","-6.262605","51 Wellington Quay, Temple Bar, Dublin City, ","Dublin","Activity,Day Tour,Tour"
"Alternative Visions","https://alternativevisions.co.uk/","00353872825851","55.1834711","-7.969436900000002",", Dunfanaghy, ","Donegal","Activity,Experience,Learning,Photography,Activity Operator,Tour"
"Althea Valentia","https://islandorganix.ie/","00353871700045","51.9122585","-10.3563488",", Valentia Island, v23tc78","Kerry","Activity,Experience,Learning,Activity Operator,Food Shops ,Shopping"
"Altidore Castle","https://www.ihh.ie/index.cfm/houses/house/name/Altidore%20Castle","00353877601369","53.1106151","-6.138117299999999","Altidore Castle, Altidore Demesne, Kilpedder, , ","Wicklow","Activity,Experience,Attraction,Historic Houses and Castle,Castle,Museums and Attraction,Tour"
"Altitude - The Bicycle People","https://www.altitude.ie/","0035351870356","52.2602341","-7.1187809","22 Ballybricken, , X91 V6VA","Waterford","Activity,Experience,Cycling,Shopping,Shopping Centres and Department Store,Bike Rental,Food Shops "
"Amazing Irish Vacations","https://www.amazingirishvacations.com/day-tours","0035361484911","52.66310138557455","-8.627269450783388",", Limerick City, ","Limerick","Activity,Experience,Activity Operator,Tour"
"Amelia's Irish Design & Gifts","https://www.amelias.ie/","00353872434060","54.9504925","-7.736841999999999","29 Upper Main St, Letterkenny, ","Donegal","Activity,Experience,Craft,Shopping,Food Shops "
"Amicus Restaurant","https://amicusrestaurant.ie/","00353214276455","51.89928299999999","-8.4741568","Paul St, Centre, , T12 WP97","Cork","Activity,Food and Drink,Experience,Restaurant"
"AMOC Jewellery","https://amoc.ie/","0035312871515","53.1443074","-6.0625099","1 Church Rd, Killincarrig, Greystones, ","Wicklow","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"An Bhinn Bhuí (Benwee Head)",,"","54.33666669999999","-9.818888900000001","Benwee Head, Carrownaglogh, , ","Mayo","Activity"
